neighborhood,crimes,population,Crimes_per_1000_persons
Borough Park,4269,331983,12.859092182431027
Bronx Park and Fordham,5127,252655,20.292493716728345
Bushwick and Williamsburg,4634,210468,22.017598874888346
Canarsie and Flatlands,1525,195027,7.8194301301871025
Central Bronx,8274,206116,40.142444060626055
Central Brooklyn,10443,318898,32.747147990893644
Central Harlem,6691,162652,41.13690578658732
Central Queens,2008,96831,20.737160620049362
Chelsea and Clinton,11038,145000,76.12413793103448
East Harlem,7511,109972,68.29920343360128
East New York and New Lots,6021,187855,32.051316174709214
Flatbush,8379,296583,28.25178786376832
Gramercy Park and Murray Hill,4115,134522,30.589792004281826
Greenpoint,3423,127051,26.941936702584
Greenwich Village and Soho,8958,83749,106.96247119368589
High Bridge and Morrisania,10165,207631,48.95704398668792
Hunts Point and Mott Haven,10249,136591,75.03422626673792
Inwood and Washington Heights,6154,248508,24.763790300513467
Jamaica,10079,289314,34.83758131303705
Kingsbridge and Riverdale,1379,90892,15.171852308233948
Lower East Side,3988,198781,20.0622795941262
Mid-Island,2518,85510,29.446848321833702
North Queens,3494,259767,13.45051526945301
Northeast Bronx,4563,190668,23.93165082761659
Northeast Queens,945,87972,10.742054290001365
Northwest Brooklyn,7332,224199,32.703089665877194
Northwest Queens,5347,204715,26.119238941943678
Rockaways,3489,114978,30.344935552888376
South Shore,2807,189185,14.837328540846261
Southeast Bronx,9035,297927,30.32622085275923
Southeast Queens,2709,195724,13.84091884490405
Southern Brooklyn,5225,285502,18.301097715602694
Southwest Brooklyn,1801,199271,9.037943303340677
Southwest Queens,5231,266265,19.64584154883293
Stapleton and St. George,3697,123648,29.899391821946168
Sunset Park,5211,127863,40.75455761244457
Upper East Side,2467,220962,11.164815669662657
Upper West Side,2931,220080,13.317884405670666
West Central Queens,3887,245746,15.817144531345372
West Queens,7381,480501,15.361050237148309
